date,state,cases,population_x,Infec,population_y,Rtdata,Rtmod
2020-04-11,MG,750,21292666,676.0762714336015,2469867.0,0.8460337254172077,1.2742979990642067
2020-04-12,MG,806,21292666,721.2549512038491,2469867.0,0.7656784966802029,1.269661906757247
2020-04-13,MG,815,21292666,768.4492956412752,2469867.0,0.7442378654694246,1.2659818077741092
2020-04-14,MG,884,21292666,817.7434457678359,2469867.0,0.6211240653759434,1.2629542617231846
2020-04-15,MG,903,21292666,869.2254530512688,2469867.0,0.8767108265757978,1.2605809528923904
2020-04-16,MG,958,21292666,923.0028845341284,2469867.0,0.8519874215130832,1.2587925470457957
2020-04-17,MG,1021,21292666,979.1744952149517,2469867.0,1.2516837074609,1.2571657299086578
2020-04-18,MG,1077,21292666,1038.5610746787308,2469867.0,1.3058452194220072,1.2560831985239398
2020-04-19,MG,1154,21292666,1099.3599655938658,2469867.0,1.1461327605409994,1.2551309909432542
2020-04-20,MG,1189,21292666,1163.1556783922974,2469867.0,1.2596838075887475,1.2543719865823004
2020-04-21,MG,1230,21292666,1229.9482130740264,2469867.0,0.8044452092186016,1.2536786650331846
2020-04-22,MG,1283,21292666,1299.752265406951,2469867.0,1.096273366671406,1.253140084396485
2020-04-23,MG,1308,21292666,1372.6579346594385,2469867.0,1.1263037929537931,1.2527442092851395
2020-04-24,MG,1419,21292666,1448.8092797669055,2469867.0,1.0455725394791124,1.2524590021356825
2020-04-25,MG,1481,21292666,1528.3336202630862,2469867.0,1.239018460231,1.2522488830067895
2020-04-26,MG,1548,21292666,1611.393293892152,2469867.0,0.9040696028604264,1.2520648730944564
2020-04-27,MG,1586,21292666,1698.1552585018148,2469867.0,0.8792648799869172,1.2519026725282636
2020-04-28,MG,1649,21292666,1788.7721313398777,2469867.0,0.8747246014088114,1.251746535954212
2020-04-29,MG,1758,21292666,1883.4156813580166,2469867.0,0.9087391604824068,1.2515874334238486
2020-04-30,MG,1827,21292666,1982.3562046154987,2469867.0,1.0168670709022605,1.2514844618399692
2020-05-01,MG,1935,21292666,2085.5071248502445,2469867.0,1.23438982157274,1.2514005722445107
2020-05-02,MG,2023,21292666,2193.342524793565,2469867.0,4.514688302776382,1.2513075588740403
